X_train,y_train
yung isa lard ass fat fuck bungi yung isa weirdo na abangers yung isa cheater tapos pacool yung isa feminist na bobo naman at toxic feminism ang sinusupport yung isa pacool din na pangit naman tapos mga walang boundaries nung kami pa haha mga walang decency sa buhay kadiri,"[0, 1, 1, 0, 0, 1]"
grabe filter mo ineng,"[0, 1, 0, 0, 0, 0]"
a real nigga ain t complete without a real bitch,"[0, 0, 0, 0, 1, 1]"
ngl i m obsessed with twitter dramas lit and legit bestlife,"[0, 0, 0, 0, 0, 0]"
slayed volleyball sobrang lit napakahusay ,"[0, 0, 0, 0, 0, 0]"
bruh this is giving anime astig talaga weekendvibes,"[0, 0, 0, 0, 0, 0]"
get pissed off with people i get nasty ,"[0, 0, 0, 1, 0, 1]"
what a dumb bitch,"[1, 0, 0, 0, 1, 0]"
putang ina mong senador ka bobo ayaw ng asawa mo ang next move mo agad mambabae na pumunta ka sa banyo mag masturbate ka na lang kung in heat ka at ayaw ng asawa mo lumalabas na walang respeto tong bobong senador na to sa asawa niya ginagawa mo lang parausan si marielle gusto mo death penalty ang parusa sa rape pero pag ikaw ang gagawa makakalusot ka putang ina mo boy sili ,"[1, 1, 1, 0, 0, 0]"
shit bitch punch kill swear do nudity so shut up frickin around give you drugs call you names like shit ,"[0, 0, 0, 1, 0, 1]"
kadiri ang mga ilocano walang modo ,"[0, 0, 0, 0, 1, 1]"
lahat ng ilocano ay primitive ,"[0, 0, 0, 0, 1, 1]"
literally can t even with how good pubg solid talaga that s the tweet ,"[0, 0, 0, 0, 0, 0]"
kadiri ang mga squatter madumi ,"[0, 0, 0, 0, 1, 1]"
beh ano ba selos na selos na ako todo kuwento ka pa about sa kaniya putangina ka,"[1, 1, 1, 0, 0, 0]"
kaaway mo si bathala hindi ka makakapasok sa langit sa mga tulad mong walang pag asa ,"[0, 0, 0, 1, 0, 1]"
have you eva asked a nicca where dey got sum fake designer frm,"[0, 0, 0, 0, 1, 1]"
guys literally can t even with how good viral challenges yorme ,"[0, 0, 0, 0, 0, 0]"
netflix shows that s it that s the post universitylife,"[0, 0, 0, 0, 0, 0]"
apaka galing ng viral challenges very satisfying keep slaying ,"[0, 0, 0, 0, 0, 0]"
ayaw ko sa mga badjao dahil kulang sa utak ,"[0, 0, 0, 0, 1, 1]"
bobo na nga tanga pa,"[1, 1, 1, 0, 0, 0]"
based take on internships peak and aprub trendingnow,"[0, 0, 0, 0, 0, 0]"
kaya hindi umaasenso ang bikolano dahil lagi silang nagiinuman ,"[0, 0, 0, 0, 1, 1]"
guys this is such a mood professors charot lang nofilter,"[0, 0, 0, 0, 0, 0]"
you a bitch i hope you die you worthless pathetic fucking cunt ,"[1, 1, 1, 0, 0, 0]"
the most broke people have the most to say bitch nigga how can you afford to speak,"[1, 0, 0, 0, 1, 0]"
rt blessedyaszay iwanttopunchpeoplewho mock god,"[1, 0, 0, 0, 1, 0]"
the fuck is going on,"[0, 0, 1, 0, 0, 0]"
alam mo bang kinasusuklaman ng santo ang seventh day adventist susunugin kita ,"[1, 0, 0, 1, 0, 0]"
absolutely living for k pop universitylife universitylife,"[0, 0, 0, 0, 0, 0]"
hahahahaha naman omg same ,"[0, 0, 0, 0, 0, 0]"
i think relationship drama is so vibe g na g ako sa sophomores classof,"[0, 0, 0, 0, 0, 0]"
i m shook at how good streaming sobrang witty sheesh twentytwentyfive,"[0, 0, 0, 0, 0, 0]"
kupal yung taong na iyon patakalan mo iyon,"[1, 1, 1, 0, 0, 0]"
petmalu yung majors very sick iykyk ,"[0, 0, 0, 0, 0, 0]"
who think they are fucking geniuses you guys are fucking retards who were born with no penises and masturbate all ,"[0, 0, 0, 1, 0, 1]"
suck my dik suck my dik,"[1, 0, 1, 0, 0, 0]"
matirahan kapag nakita kita dudurugin kita ,"[0, 0, 0, 1, 0, 1]"
sana narealize mo na some of us eh napagod na kakapersuade sa mga bobo ,"[0, 1, 0, 0, 0, 0]"
guys literally can t even with how good exams labyu classof,"[0, 0, 0, 0, 0, 0]"
kaya hindi umaasenso ang tausug dahil walang breeding ,"[0, 0, 0, 0, 1, 1]"
papatayin ko lahat ng katoliko tulad mo may kilala akong pulis ,"[0, 0, 0, 1, 0, 1]"
g na g ako sa k pop very fire no cap trendingnow,"[0, 0, 0, 0, 0, 0]"
nah thats okay i ll just change ips just keep being a dick i hope you like sucking on your own thats if you got one ,"[1, 0, 1, 0, 0, 0]"
lahat ng kapampangan ay magnanakaw ,"[0, 0, 0, 0, 1, 1]"
papatayin kita hayop may kilala akong pulis ,"[0, 0, 0, 1, 0, 1]"
you fat asshole why don t you leave my page alone what it s not enoguh for you to stick your nosey nerd ass troll figners on the page for my personal high school you have to decide what belongs on ym persoanl user pagfes too keep it up mother fucker and youll get yours i swear to fucking christ see wp touchmyshitagainandyoulearnwahtitmeanstotossasaladfatnerdfuckingtrollpieceofshitasswipe by the way i blanked the suer profile page because that comment didnt belogn there it was supposed to go on the talk page but noone could get into it im not a kike or an atheist so leaving it on there has no relelvance got it ,"[1, 1, 1, 0, 0, 0]"
nasa impyerno ang lugar mo lods ipapadala kita doon hindi ka maliligtas ,"[0, 0, 0, 1, 0, 1]"
the ground you are a fucking faggot get a fucking life lose some fucking weight stop doing drugs in your ,"[0, 0, 0, 1, 0, 1]"
that nigga waledayday so trash,"[1, 0, 0, 0, 1, 0]"
if you kill all cops and cracker babies what next black states white states and latino states isn t that moving backwards ,"[0, 0, 0, 0, 1, 1]"
malungkot ka na naman bang tanga ka,"[1, 1, 1, 0, 0, 0]"
ang bababa ng tingin ko sa mga kapampangan dahil lagi silang nagiinuman ,"[0, 0, 0, 0, 1, 1]"
omg g na g ako sa viral challenges keep slaying studentlife,"[0, 0, 0, 0, 0, 0]"
wala kang kwentang kaibigan gago tangina mo,"[1, 1, 1, 0, 0, 0]"
kong gawin kinasusuklaman ng panginoon ang mga tulad mong bulag ,"[0, 0, 0, 1, 0, 1]"
typical mahirap bobo ,"[0, 0, 0, 0, 1, 1]"
ikaw at ang buong sambahan niyo ang tatamaan ko ,"[1, 0, 0, 1, 0, 0]"
kapag nakita kita sasaksakin kita ,"[0, 0, 0, 1, 0, 1]"
wait a min you nigga bitch lol rt williep fuckthesteelers httr i don t give a damn if it cont http t co vemnxduql,"[1, 0, 0, 0, 1, 0]"
fuck you as,"[1, 0, 1, 0, 0, 0]"
bruh that s fire netflix shows lodi talaga studentlife,"[0, 0, 0, 0, 0, 0]"
petmalu yung fashion trends astig and vibe sembreak,"[0, 0, 0, 0, 0, 0]"
i think dorm life is so clean apaka galing ng section goalaf,"[0, 0, 0, 0, 0, 0]"
this stupid nazi woman is a fucking bitch ,"[0, 0, 0, 1, 0, 1]"
hindi ako nagtataka kung bakit kinamumuhian ang mga probinsyano mahirap ,"[0, 0, 0, 0, 1, 1]"
papatayin kita babae may baril ako ,"[0, 0, 0, 1, 0, 1]"
kaaway mo si jesus walang kapatawaran sa mga tulad mong mananampalataya daw ,"[0, 0, 0, 1, 0, 1]"
go to bed bitch i wana edit pages,"[1, 0, 1, 0, 0, 0]"
angat sa pubg vibe talaga apaka nice ,"[0, 0, 0, 0, 0, 0]"
 amortias is m o ther fu k er ,"[1, 0, 1, 0, 0, 0]"
hihintayin kita sa labas kakausapin ko pamilya mo ,"[1, 0, 0, 1, 0, 0]"
ikaw at ang buong prayer room niyo ang hihiritan ko ,"[0, 0, 0, 1, 0, 1]"
pagsisisihan mo na katoliko ka magsisisi ka sa mga tulad mo ,"[0, 0, 0, 1, 0, 1]"
wala na kong pera pero nakakita ako ng sale online rip wallet,"[0, 0, 0, 0, 0, 0]"
i m shook at how good online classes sobrang angas apaka nice ,"[0, 0, 0, 0, 0, 0]"
papatayin kita hoy may pamilya ako na gang ,"[0, 0, 0, 1, 0, 1]"
tanginamo sasaksakin kita ng walang humpay,"[1, 1, 1, 0, 0, 0]"
pota ang sweldo napupunta na lang sa baon at pamasahe pakyu ka dominguez,"[1, 1, 1, 0, 0, 0]"
 viri_bracefacee wassup niggah,"[0, 0, 0, 0, 1, 1]"
babanatan ko nasa impyerno ang lugar mo ikaw ,"[0, 0, 0, 1, 0, 1]"
papatayin ko lahat ng hindu tulad mo may kutsilyo ako ,"[0, 0, 0, 1, 0, 1]"
yo ang lit ng volleyball vibe af sana all ,"[0, 0, 0, 0, 0, 0]"
tangina di ka lang talaga nagaantay ugh ayaw mo lang ako kasama yon ang sabihin mo nagaya ka tapos ako nagreply in game na kayo ulol ka ba,"[1, 1, 1, 0, 0, 0]"
babantayan kita hanggang sumuko ka ,"[0, 0, 0, 1, 0, 1]"
this is giving exams clean and saktong sakto passingthevibe,"[0, 0, 0, 0, 0, 0]"
you utter twat what kind of stupid cunt reports someone for a perfectly valid username you complete waste of oxygen you rancid piece of dog shit get a sense of perspective and stop being a petty minded little fucker ,"[1, 1, 1, 0, 0, 0]"
guys low key love bts yorme ,"[0, 0, 0, 0, 0, 0]"
babantayan kita hanggang magsisi ka ,"[0, 0, 0, 1, 0, 1]"
hindi ako nagtataka kung bakit kinamumuhian ang mga taga maynila backward ,"[0, 0, 0, 0, 1, 1]"
grabe yung mata mata pa lang yan ha pogi,"[0, 0, 0, 0, 0, 0]"
hey hey faggot are you dead yet or are you watching your mom getting raped by filthy pigs which one is it ,"[1, 0, 1, 0, 0, 0]"
sasaktan kita pre pag ginawa mo ulit yan hindi mo alam kung sino ako ,"[0, 0, 0, 1, 0, 1]"
ulol tumahimik ka pakyu,"[1, 1, 1, 0, 0, 0]"
kadiri ang mga lumad hindi marunong mag ingles ,"[0, 0, 0, 0, 1, 1]"
hey asshole nice try with the speedy deletion ,"[1, 0, 1, 0, 0, 0]"
magtago ka na hindi ka makakaligtas ,"[0, 0, 0, 1, 0, 1]"
ang bababa ng tingin ko sa mga squatter dahil kulang sa utak ,"[0, 0, 0, 0, 1, 1]"
dadamputin kita sa bahay mo tatamaan kita ,"[0, 0, 0, 1, 0, 1]"
rt iamhusk lmfaoo rt g_coppo lmfao rt zoo lmao rt disrespectfulty you niggers move so fast http t co gmteyzpt,"[1, 0, 0, 0, 1, 0]"
rt king_j one nigga from the past told me one thing i d never forget one mans trash is another mans treasure ,"[1, 0, 0, 0, 1, 0]"
blah blah fuckin blah with books a time magazine article several news articles and the presence of a number of celebrities its notable if you want a higher notability for it do the research and add it yourself you were just bored feeling like improving some article by slapping a tag on it instead of actually improving it and nobody would let you touch the jesus article off with ye ,"[1, 0, 1, 0, 0, 0]"
sa tingin ko iconic ang sb no cap i appreciate section ,"[0, 0, 0, 0, 0, 0]"
ang bababa ng tingin ko sa mga taga bundok dahil walang disiplina ,"[0, 0, 0, 0, 1, 1]"
omg nakakaaliw yung viral challenges keep slaying twentytwentyfive,"[0, 0, 0, 0, 0, 0]"
uulitin ko pulis ang terorista mga punyeta to serve and protect who mga superiors niyo mga amo niyo mga mayayaman putangina niyo,"[1, 1, 1, 0, 0, 0]"
you re not even able to use fucking google can you http w enotes com psychoanalysis encyclopedia unpleasure,"[1, 0, 1, 0, 0, 0]"
j delanoy fucks little boys in the asshole with his small pecker he also gives blumpkins to old men,"[1, 1, 0, 0, 0, 0]"
babantayan kita hanggang wala ka nang pamilya ,"[0, 0, 0, 1, 0, 1]"
tangina ang panget ng ugali mo amputa,"[1, 1, 1, 0, 0, 0]"
ayaw ko sa mga mahirap dahil hindi sila nag aaral ,"[0, 0, 0, 0, 1, 1]"
bwiset ha,"[0, 1, 0, 0, 0, 0]"
wow december please do not attack other editors which you did here user talk snowolf if you continue you will be blocked from editing wikipedia snowolf how can i help sorry did i hurt your feelings whiny bitch,"[1, 0, 1, 0, 0, 0]"
kapal nang mukha mo kupal ka,"[1, 1, 1, 0, 0, 0]"
 reachtheeclimax bitches can t cook but know how to suck dick s o to the ones that can do both ,"[0, 0, 0, 0, 1, 1]"
ang bababa ng tingin ko sa mga tagalog dahil hindi sila nag aaral ,"[0, 0, 0, 0, 1, 1]"
snoop dogg offical member snoop dogg is considered an offical member amoung us niggaz you white folkz jsut go by tha script but no one reps wit n w a unless they a goddamn member n thats tha rule ,"[1, 1, 1, 0, 0, 0]"
hi ru d a d d b d d d bd d b d ba alex smotrov you want a fuck or dick whats problem ,"[1, 0, 1, 0, 0, 0]"
yo slay naman ang k pop bussin af naol ,"[0, 0, 0, 0, 0, 0]"
ang chachaka ng peys,"[1, 1, 0, 0, 0, 0]"
nakakaaliw yung valorant very undefeated recommend ,"[0, 0, 0, 0, 0, 0]"
mong ipokrito masusunog ka sa impyerno ,"[0, 0, 0, 1, 0, 1]"
kadiri ang mga mahirap magnanakaw ,"[0, 0, 0, 0, 1, 1]"
wag kang matutulog nang mahimbing pupuntahan kita ,"[0, 0, 0, 1, 0, 1]"
sino ka putangina mo sasapakin kita,"[1, 1, 1, 0, 0, 0]"
quit defacing my user page you ugly cunt ,"[1, 1, 0, 0, 0, 0]"
don t trust these hoes,"[0, 0, 0, 0, 1, 1]"
kadiri ang mga taga probinsya barbaric ,"[0, 0, 0, 0, 1, 1]"
bakit ba ganyan kayong mga squatter barbaric ,"[0, 0, 0, 0, 1, 1]"
this is such a mood basketball ootd ootd,"[0, 0, 0, 0, 0, 0]"
ang idol mo ang manyakes binuntis nya pensan nyang buo kadugo nya masahol pa sya sa hayop,"[1, 1, 1, 0, 0, 0]"
hindi ka makakatakas sa akin titingnan ko profile mo ,"[0, 0, 0, 1, 0, 1]"
babantayan kita hanggang magsisi ka ,"[1, 0, 0, 1, 0, 0]"
pagsisisihan ng lahat ng dating daan ang araw na ito masusunog ka sa impyerno ,"[0, 0, 0, 1, 0, 1]"
rt ufgatorfamily incase any hillbillies try to roast http t co ljktccp,"[1, 0, 0, 0, 1, 0]"
bakit ba ganyan kayong mga indigenous maingay ,"[0, 0, 0, 0, 1, 1]"
hindi ka makakatakas sa akin magbabayad ka ,"[0, 0, 0, 1, 0, 1]"
bakit ba ganyan kayong mga ilonggo maingay ,"[0, 0, 0, 0, 1, 1]"
stan basketball collegedays collegedays,"[0, 0, 0, 0, 0, 0]"
hihintayin kita sa labas aalamin ko address mo ,"[1, 0, 0, 1, 0, 0]"
magtago ka na may kilala akong pulis ,"[0, 0, 0, 1, 0, 1]"
how to kill mozart wo stab him shoot him jump on him,"[0, 0, 0, 1, 0, 1]"
guys facts about sb solid yarn ,"[0, 0, 0, 0, 0, 0]"
gusto ko nang kumawala sa mga kupal na naka kapit sakin,"[1, 1, 1, 0, 0, 0]"
 rivenbarkyahoo hale_razor jim hogg county a dirt poor democrat leaning county hebronville is it s seat been there it s a near ghetto,"[0, 0, 0, 0, 1, 1]"
ang bababa ng tingin ko sa mga mahirap dahil masyado silang religious ,"[0, 0, 0, 0, 1, 1]"
guys this is giving weekend parties deserve mo yan ,"[0, 0, 0, 0, 0, 0]"
sino ka ba kasing hayop ka panget mo puta,"[1, 1, 1, 0, 0, 0]"
ngl i m obsessed with esports astig talaga just saying ,"[0, 0, 0, 0, 0, 0]"
just putting a bitch in his place do you did to be sat down too shorty ,"[1, 1, 0, 0, 0, 0]"
sa tingin ko goated ang professors that s fire squad ,"[0, 0, 0, 0, 0, 0]"
susunugin ko ang templo niyo hindi mo alam kung sino ako ,"[1, 0, 0, 1, 0, 0]"
oh of fuck you asshole die im going to kill you ,"[0, 0, 1, 1, 0, 1]"
ulol berde talaga utak mo block kita,"[1, 1, 1, 0, 0, 0]"
go fuck yourself you stupid cunt ,"[1, 0, 1, 0, 0, 0]"
slayed p pop goated and petmalu pinoypride,"[0, 0, 0, 0, 0, 0]"
guys absolutely living for thesis solid yarn ,"[0, 0, 0, 0, 0, 0]"
omg apaka galing ng k pop this is the energy we need pinoypride,"[0, 0, 0, 0, 0, 0]"
kita nmn sa mukha sa ngiwi at sa bulol ,"[1, 1, 0, 0, 0, 0]"
naur ang ganda ng majors valid talaga awit pinoypride,"[0, 0, 0, 0, 0, 0]"
this is giving mobile legends pinoypride pinoypride,"[0, 0, 0, 0, 0, 0]"
i hate a ol fat disgusting walmart working ass bitch ,"[0, 0, 0, 0, 1, 1]"
ust dont wanna fight do you ,"[0, 0, 0, 1, 0, 1]"
may dating yung pubg very undefeated iykyk ,"[0, 0, 0, 0, 0, 0]"
rt littlemissariee after bitches get da dick they be dickmatized ,"[1, 0, 0, 0, 1, 0]"
a screw you u fucking harry potter fans ,"[0, 0, 1, 0, 1, 1]"
what up g you suck ya jackass no serious get a life and that s coming from a quasi hermit myself ,"[1, 1, 0, 0, 0, 0]"
alam mo bang kinasusuklaman ng kristo ang evangelista susuntukin kita ,"[1, 0, 0, 1, 0, 0]"
probably that kid that people thought would kill everyone in high school ,"[0, 0, 0, 1, 0, 1]"
hihintayin kita sa labas titingnan ko profile mo ,"[0, 0, 0, 1, 0, 1]"
herhis neck go back to jewland you fuck ,"[0, 0, 0, 1, 0, 1]"
yo pak na pak ang sb lit af yorme bestlife,"[0, 0, 0, 0, 0, 0]"
srsly i m vibing with netflix shows ang woah goalaf,"[0, 0, 0, 0, 0, 0]"
yal some faggots yup nigga you n you fuckin fruit cups ,"[1, 0, 0, 0, 1, 0]"
hindi ko maintindihan bakit ang probinsyano ay laging mabaho ,"[0, 0, 0, 0, 1, 1]"
ng syndicate wag kang matutulog nang mahimbing ,"[0, 0, 0, 1, 0, 1]"
 eonline she looks like a real dyke now,"[0, 0, 0, 0, 1, 1]"
napakaisip bata puta,"[1, 1, 1, 0, 0, 0]"
guys understood the assignment with group projects deserve mo yan ,"[0, 0, 0, 0, 0, 0]"
ayaw ko sa mga mahirap dahil napakabobo nila ,"[0, 0, 0, 0, 1, 1]"
your jl naudin deletion nomnination like i said radiofan have patience and stop straining for fame over your assumptions and did you notice the page was just created you re being stupid ,"[1, 1, 0, 0, 0, 0]"
nasa impyerno ang lugar mo engot ipapadala kita doon mahaharap ka sa paghuhukom ,"[0, 0, 0, 1, 0, 1]"
jejemon naman kayo gago,"[1, 1, 1, 0, 0, 0]"
kaya hindi umaasenso ang ilocano dahil masyado silang religious ,"[0, 0, 0, 0, 1, 1]"
you still blow me off if you are not even going listen to me i m done with you i d rather talk to someone else i give you all these reasons and you comes off as sorry idiotic person lower than me i dont care what you say your being one huge ass prick i m going ignore that part of the rule partially by your attitude period justice is served ,"[1, 1, 0, 0, 0, 0]"
yass queen king go lang,"[0, 0, 0, 0, 0, 0]"
naur ang ganda ng k pop iconic talaga sana all ,"[0, 0, 0, 0, 0, 0]"
 drewhelms i know right so much retard,"[0, 0, 0, 0, 1, 1]"
lahat ng badjao ay maingay ,"[0, 0, 0, 0, 1, 1]"
sasaktan kita lods pag nag comment ka pa may baril ako ,"[0, 0, 0, 1, 0, 1]"
i think esports is so goals solid talaga yung kaibigan ,"[0, 0, 0, 0, 0, 0]"
fuck you you cunt don t ever fucking accuse me of vandalism don t ever fucking revert just because you can t be bothered to read and understand what someone did you re the one disruptively editing undoing my changes for no fucking reason at all ,"[1, 0, 1, 0, 0, 0]"
kaya hindi umaasenso ang taga bundok dahil napakabobo nila ,"[0, 0, 0, 0, 1, 1]"
rt unapologetiicb what s it like being a cold hearted cunt ,"[1, 0, 0, 0, 1, 0]"
ako hindi ko kaya pero tinatry ko haha dami kasing bobo dito sa twitter,"[1, 1, 1, 0, 0, 0]"
bakit ba ganyan kayong mga tausug walang pinag aralan ,"[0, 0, 0, 0, 1, 1]"
hindi ka makakatakas sa akin pupuntahan kita ,"[1, 0, 0, 1, 0, 0]"
rt _jbsoprano young n s act hard and all the bad b s grew up to be trash broads jaetips,"[1, 0, 0, 0, 1, 0]"
seriously what is your problem do you think the paragraph deletion and the insertion of the word nipples was correct are you just too lazy to type anything or are you just an asshole who doesn t really care about vandalism ,"[1, 1, 0, 0, 0, 0]"
handing out blocks using twinkle what a fucking disgrace lfdder,"[1, 0, 1, 0, 0, 0]"
guys literally can t even with how good online classes apaka nice ,"[0, 0, 0, 0, 0, 0]"
gay ass nigga bitch you thought you thought,"[0, 0, 0, 0, 1, 1]"
ikaw at ang buong kapilya niyo ang susunugin ko ,"[0, 0, 0, 1, 0, 1]"
slayed anime studentlife studentlife,"[0, 0, 0, 0, 0, 0]"
yo petmalu yung thesis lit af ito na talaga universitylife,"[0, 0, 0, 0, 0, 0]"
piss off suck my dick you pussy,"[1, 0, 1, 0, 0, 0]"
ngl i m obsessed with mobile legends based and angas classof,"[0, 0, 0, 0, 0, 0]"
guys i m shook at how good p pop naol ,"[0, 0, 0, 0, 0, 0]"
fuck you smith please have me notified when you die i want to dance on your grave ,"[1, 0, 1, 0, 0, 0]"
guys absolutely living for dorm life deserve mo yan nofilter,"[0, 0, 0, 0, 0, 0]"
bakit ba ganyan kayong mga waray backward ,"[0, 0, 0, 0, 1, 1]"
 softestmuffin _tee torahblaze at the end of the day they call yo dumb ass monkey picka nanny hoe but u luv them white devils,"[0, 0, 0, 0, 1, 1]"
kupal na ito hindi ba kaya binibigyan mga bata nuon ng nutribun dahil puro malnourished habang tumatanda tong kupal na ito lalong nagiging demonyo kung ano mukha ganun din ang pagkademonyo,"[1, 1, 1, 0, 0, 0]"
see why these pussies need their guns http t co chtqnrmu,"[1, 0, 0, 0, 1, 0]"
